Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
KEGG_TYPE_II_DIABETES_MELLITUS	47	45	4.11314	4.03058	2.78195e-05	0.00315372	KCNJ11(3.90211); ABCC8(3.60728); TNF(3.33523); ADIPOQ(2.15701); SLC2A2(1.63646); GCK(1.25049); CACNA1D(1.21595); MTOR(1.19005); PDX1(1.17129); SLC2A4(1.00149); CACNA1G(0.954298); PIK3R3(0.898754); INS(0.84002); SOCS2(0.76275); PIK3CA(0.740005); PIK3CD(0.669393); CACNA1C(0.531858); CACNA1E(0.404351); PKLR(0.346418); INSR(0.335082); MAPK1(0.309425); PIK3CG(0.249449); CACNA1B(0.243336); MAPK10(0.215418); HK1(0.213865); SOCS3(0.0692202); PIK3R1(0.00731657); MAPK9(-0.0285666); MAPK3(-0.0304901); IRS2(-0.050538); HK3(-0.138642); PIK3R2(-0.167603); PRKCE(-0.256039); CACNA1A(-0.266261); MAPK8(-0.277255); PIK3CB(-0.339528); PRKCD(-0.387895); IRS1(-0.513901); PIK3R5(-0.528945); MAFA(-0.575724); SOCS4(-0.663898); HK2(-0.665182); SOCS1(-0.722527); IKBKB(-0.731113); PRKCZ(-1.38009); 
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	29	22	3.94802	3.94828	3.9357e-05	0.00408985	NOTCH4(2.79768); E2F3(2.38499); NOTCH2(1.63191); TP53(1.53647); TNRC6C(1.15009); KAT2A(0.994962); SNW1(0.94403); MAML1(0.843113); CCND1(0.763817); TFDP1(0.715676); KAT2B(0.684851); JUN(0.448917); MAML3(0.254355); TNRC6B(0.184972); MAML2(0.176378); TNRC6A(-0.0515641); RBPJ(-0.081855); EP300(-0.192803); E2F1(-0.193662); CREBBP(-0.268873); MOV10(-0.27739); NOTCH3(-0.283643); 
KEGG_VIRAL_MYOCARDITIS	73	68	4.91449	3.92529	4.33123e-05	0.00415465	HLA-DRB1(4.31249); HLA-DQA1(4.05141); HLA-DRA(3.24383); HLA-B(2.80766); HLA-C(2.24317); MYH3(1.60166); HLA-DQA2(1.53103); HLA-E(1.46025); SGCG(1.31793); SGCD(1.27363); ITGAL(0.911597); RAC2(0.882913); CCND1(0.763817); HLA-DQB1(0.708976); HLA-DMA(0.649646); HLA-DMB(0.645202); MYH14(0.627778); BID(0.609974); MYH1(0.576128); MYH2(0.563348); MYH9(0.527596); MYH7B(0.512851); ABL1(0.502895); MYH8(0.479732); HLA-G(0.458157); HLA-A(0.444104); HLA-F(0.426953); CYCS(0.391863); MYH13(0.314763); HLA-DOB(0.31108); MYH4(0.252435); HLA-DRB4(0.245085); CXADR(0.192729); HLA-DRB3(0.191903); CD80(0.161864); FYN(0.138675); ITGB2(0.117953); EIF4G1(0.0945215); ACTB(0.0800898); SGCA(0.0221467); HLA-DOA(0.0128029); CASP3(-0.00632708); PRF1(-0.0268675); MYH15(-0.0681635); MYH11(-0.0715292); HLA-DPA1(-0.071606); CD28(-0.11863); ICAM1(-0.142019); MYH7(-0.151143); DAG1(-0.152549); LAMA2(-0.170638); MYH6(-0.172416); CAV1(-0.17878); RAC1(-0.183129); CD40(-0.260873); SGCB(-0.267129); CASP9(-0.288016); EIF4G2(-0.425583); ABL2(-0.460884); HLA-DPB1(-0.50565); CASP8(-0.562284); CD86(-0.669894); ACTG1(-0.723059); EIF4G3(-0.777032); RAC3(-0.81868); MYH10(-1.03339); CD55(-1.41091); DMD(-2.52083); 
BIOCARTA_IL5_PATHWAY	10	10	3.38758	3.88917	5.02928e-05	0.00447966	HLA-DRB1(4.31249); HLA-DRA(3.24383); CCL11(0.908817); IL5(0.817658); IL6(0.621384); IL4(0.289637); CD4(0.149542); IL5RA(-0.0290186); CCR3(-0.37399); IL1B(-0.485103); 
PID_AP1_PATHWAY	70	68	10.4266	3.81369	6.84535e-05	0.00559794	TCF7L2(6.0905); CDKN2A(3.39313); FABP4(2.38307); MMP1(1.80973); BCL2L11(1.80172); ACTA1(1.55502); TP53(1.53647); IL2(1.5333); PLAU(1.47627); NPPA(1.42396); ATF3(1.39451); FOS(1.23295); CDKN1B(1.10316); IL5(0.817658); TH(0.792333); CCND1(0.763817); CDK1(0.737894); FOSB(0.701587); ESR1(0.694623); ELF1(0.635395); IL6(0.621384); DUSP1(0.576326); NFATC1(0.502222); CCL2(0.472977); JUN(0.448917); HLA-A(0.444104); DMP1(0.348712); IL4(0.289637); NFATC2(0.261415); PTEN(0.243819); MYC(0.242354); BAG1(0.201753); FOSL1(0.189433); JUND(0.147637); EGR1(0.129942); MAF(0.121243); PENK(0.0881439); NTS(0.0754443); ETS1(0.067374); GATA2(0.0203981); AGT(-0.0383849); HIF1A(-0.0633025); MYB(-0.0686474); DMTF1(-0.0873615); EP300(-0.192803); COPS5(-0.200532); IL8(-0.275308); EDN1(-0.284126); NFATC3(-0.284717); ATF2(-0.303988); CTNNB1(-0.32477); CYR61(-0.377838); COL1A2(-0.388339); CRTC1(-0.445592); IFNG(-0.446851); CSF2(-0.449999); CREB1(-0.460857); IL10(-0.489542); MT2A(-0.508154); FOSL2(-0.659729); TGFB1(-0.744477); MMP9(-0.879449); TRIP6(-0.889076); GJA1(-0.893282); JUNB(-0.908937); CBFB(-0.936581); SP1(-0.984785); NR3C1(-1.07257); 
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	121	117	3.57665	3.81775	6.73369e-05	0.00559794	PDE2A(3.60632); ADCY5(3.5033); PTH1R(3.18797); GLP2R(2.6531); GIP(2.53896); GLP1R(2.39336); ADCY7(1.99045); TAAR1(1.91515); FSHR(1.79816); ADCY2(1.42049); ADCYAP1R1(1.30782); GNB4(1.23463); CRHR2(1.22569); PDE3A(1.21114); MC4R(1.1805); IAPP(1.15818); MC3R(1.04741); PDE4B(1.03492); PTGER2(1.01581); ADCYAP1(1.00171); GIPR(0.998963); CRH(0.984486); PDE10A(0.972769); TAAR2(0.870522); GNAI3(0.866894); HTR6(0.856334); ADCY8(0.812018); HTR4(0.800025); CALCRL(0.752799); GNG2(0.704421); HRH2(0.703153); RXFP2(0.676536); GNGT2(0.634312); GNG13(0.560113); DRD1(0.525415); RAMP3(0.518775); MC2R(0.504036); PTGDR(0.436796); TAAR5(0.422216); LHCGR(0.419442); SCTR(0.416595); TSHR(0.400862); ADM(0.39986); ADRB1(0.396103); RAMP1(0.379682); PTGER4(0.315444); POMC(0.310519); GNG10(0.295593); GNB3(0.28953); ADCY1(0.285626); PDE11A(0.285428); SCT(0.211094); GHRHR(0.205871); GNAI1(0.143337); CALCA(0.13632); GNAS(0.09822); CGA(0.0685029); PTH2(0.0684822); ADRB2(0.0661935); PDE3B(0.0592482); ADCY9(0.054446); MC1R(0.0440118); PDE8B(0.0377808); NPS(0.0351292); PDE8A(0.0136318); TAAR6(-0.00149125); GNGT1(-0.0249133); GNG11(-0.0269033); PDE1A(-0.0307034); PDE4D(-0.0520702); HTR7(-0.0866581); FSHB(-0.0881459); GNG5(-0.140509); NPSR1(-0.146528); PTH(-0.172032); LHB(-0.179049); ADCY6(-0.205425); VIPR1(-0.210733); P2RY11(-0.213937); GNB5(-0.226998); ADORA2B(-0.230296); GCG(-0.260091); PDE4C(-0.275273); ADORA2A(-0.287268); PTHLH(-0.296815); MC5R(-0.320608); INSL3(-0.348511); TSHB(-0.367235); GNG7(-0.416436); RAMP2(-0.467128); PDE1B(-0.474676); VIP(-0.493032); RLN3(-0.4977); GNG3(-0.515991); ADCY4(-0.520086); RXFP1(-0.548017); AVP(-0.582352); TAAR8(-0.593831); GNG4(-0.627685); ADM2(-0.65369); DRD5(-0.674639); PDE7B(-0.689301); ADCY3(-0.700655); GNB2(-0.709362); CALCB(-0.712241); VIPR2(-0.734657); GNG8(-0.762539); GNB1(-0.817714); GNAI2(-0.837638); PDE7A(-0.846361); RLN2(-0.880804); GNG12(-0.882543); GHRH(-0.883088); PTH2R(-0.929647); GPBAR1(-0.93846); PTGIR(-0.95277); GNAZ(-1.11292); 
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	43	42	3.72832	3.78069	7.81986e-05	0.0057361	KCNQ1(4.76635); KCNQ3(2.86277); KCNS3(2.45263); KCNQ5(1.79565); KCNC2(1.62001); KCNH6(1.39398); KCNC1(1.33264); KCNH1(1.31389); KCNS1(1.00128); KCNC3(0.964279); KCNA3(0.956019); KCNS2(0.738216); KCNG1(0.72662); KCNAB3(0.656929); KCNA2(0.592578); KCNF1(0.401953); KCNV2(0.349602); KCNV1(0.31853); KCNH5(0.269711); KCNH7(0.139089); KCNQ2(0.115187); KCND3(0.0745432); KCNB2(0.0689642); KCNAB2(-0.00567709); KCNA6(-0.00741961); KCNA1(-0.0663011); KCNA10(-0.0795702); KCNAB1(-0.0857483); KCNQ4(-0.119183); KCNA4(-0.140463); KCND2(-0.156409); KCNH4(-0.176607); KCNB1(-0.409089); KCNG4(-0.410883); KCNC4(-0.418644); KCNG3(-0.42621); KCNH2(-0.507745); KCNA5(-0.522534); KCNG2(-0.546655); KCNA7(-0.694523); KCNH8(-0.736036); KCNH3(-0.805083); 
BIOCARTA_CELLCYCLE_PATHWAY	23	23	2.88988	3.73742	9.29582e-05	0.00643994	CDKN2B(3.94603); CDKN2A(3.39313); CCND2(2.29206); CDK6(1.91294); CDKN1A(1.74766); CDKN2C(1.53211); CDKN1B(1.10316); CCND1(0.763817); CDK1(0.737894); TFDP1(0.715676); CDC25A(0.391891); CCNA1(0.239808); E2F1(-0.193662); CCNH(-0.211401); CDK4(-0.240174); RB1(-0.304368); CCND3(-0.32174); CDK2(-0.384698); CCNB1(-0.465449); CDK7(-0.603054); CCNE1(-0.683835); CDKN2D(-0.745112); RBL1(-0.933176); 
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11	10	3.41059	3.68776	0.000113119	0.0074242	PDHA2(3.15356); VARS(1.86008); LARS2(1.61769); IARS(0.972229); PDHB(0.883113); BCAT1(0.49516); LARS(0.35086); VARS2(0.309546); IARS2(0.000789236); BCAT2(-0.682775); 
BIOCARTA_CXCR4_PATHWAY	24	24	3.72314	3.65339	0.000129401	0.00806817	BCAR1(3.39143); PLCG1(2.98526); NFKB1(1.9519); PTK2(1.41268); PRKCB(1.3141); PTK2B(1.00923); PIK3CA(0.740005); RELA(0.681872); PXN(0.494265); CXCL12(0.456055); PIK3C2G(0.434548); CXCR4(0.361795); RAF1(0.339154); MAPK1(0.309425); GNAQ(0.271586); GNAI1(0.143337); PIK3R1(0.00731657); GNGT1(-0.0249133); MAPK3(-0.0304901); PRKCA(-0.252342); MAP2K1(-0.412275); CRK(-0.486491); HRAS(-0.621128); GNB1(-0.817714); 
BIOCARTA_TCRA_PATHWAY	13	11	3.36546	3.56216	0.000183909	0.0109207	HLA-DRB1(4.31249); HLA-DRA(3.24383); CD3D(1.13638); CD3G(1.10878); CD247(0.240604); CD4(0.149542); FYN(0.138675); CD3E(-0.2109); ZAP70(-0.297587); PTPRC(-0.34449); LCK(-0.408935); 
REACTOME_PD1_SIGNALING	18	16	3.50078	3.55551	0.000188626	0.0109207	HLA-DRB1(4.31249); HLA-DQA1(4.05141); HLA-DQA2(1.53103); CD3D(1.13638); CD3G(1.10878); PDCD1LG2(0.39658); CD247(0.240604); HLA-DRB3(0.191903); CD4(0.149542); CD274(-0.054069); HLA-DPA1(-0.071606); CSK(-0.0994637); CD3E(-0.2109); LCK(-0.408935); HLA-DPB1(-0.50565); PTPN6(-0.881185); 
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	16	15	3.57402	3.51979	0.00021594	0.0117077	HLA-DRB1(4.31249); HLA-DQA1(4.05141); HLA-DQA2(1.53103); CD3D(1.13638); CD3G(1.10878); CD247(0.240604); HLA-DRB3(0.191903); CD4(0.149542); HLA-DPA1(-0.071606); CSK(-0.0994637); CD3E(-0.2109); PTPRC(-0.34449); LCK(-0.408935); HLA-DPB1(-0.50565); PAG1(-0.642074); 
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	89	81	3.77628	3.50222	0.000230697	0.0119866	HLA-DRB1(4.31249); HLA-DQA1(4.05141); LTA(3.33958); HLA-DRA(3.24383); HSPA1B(2.9464); HLA-B(2.80766); HLA-C(2.24317); HSPA1A(2.03405); HSPA1L(2.01938); HLA-DQA2(1.53103); HLA-E(1.46025); CANX(0.910363); IFNA6(0.870103); TAPBP(0.855616); RFX5(0.74566); HLA-DQB1(0.708976); CALR(0.703369); IFNA8(0.681787); NFYA(0.649847); HLA-DMA(0.649646); HLA-DMB(0.645202); HSP90AA1(0.479974); CD8A(0.476136); HLA-G(0.458157); HLA-A(0.444104); HLA-F(0.426953); KIR3DL3(0.369819); IFNA21(0.359145); HLA-DOB(0.31108); IFNA4(0.310098); RFXANK(0.292833); IFNA16(0.292407); IFNA10(0.286742); IFNA7(0.284437); IFNA14(0.271172); RFXAP(0.252123); HLA-DRB4(0.245085); IFNA17(0.233067); IFNA2(0.215732); CTSB(0.192816); HLA-DRB3(0.191903); IFNA13(0.184155); CD4(0.149542); IFNA1(0.105988); CIITA(0.0477476); HLA-DOA(0.0128029); IFNA5(-0.00413047); TAP1(-0.00473871); TAP2(-0.0307236); CD8B(-0.0468904); KIR2DL4(-0.0560158); HLA-DPA1(-0.071606); LGMN(-0.0800462); IFI30(-0.10472); KIR3DL1(-0.106637); HSPA6(-0.136629); B2M(-0.289726); CREB1(-0.460857); HSP90AB1(-0.501973); HLA-DPB1(-0.50565); KLRD1(-0.51889); CTSS(-0.583229); KIR3DL2(-0.623247); NFYB(-0.644103); HSPA5(-0.698902); KIR2DL1(-0.710515); HSPA2(-0.74264); NFYC(-0.764253); KIR2DS4(-0.768612); CD74(-0.773527); PSME2(-0.806434); PSME1(-0.807009); KLRC4(-0.811809); KLRC3(-0.867744); HSPA8(-0.873796); KLRC1(-0.986239); KLRC2(-1.00881); PSME3(-1.03409); HSPA4(-1.24169); PDIA3(-1.32531); KIR2DL3(-1.6874); 
PID_HNF3B_PATHWAY	45	45	2.49545	3.41422	0.000319823	0.0159528	HNF1A(4.45469); HNF1B(3.98291); KCNJ11(3.90211); ABCC8(3.60728); SLC2A2(1.63646); ALAS1(1.49083); GCK(1.25049); ALDOB(1.19581); PDX1(1.17129); IGFBP1(1.11604); HNF4A(1.0316); BDH1(0.846807); INS(0.84002); G6PC(0.819641); FOXA3(0.760442); ACADVL(0.718138); PCK1(0.650469); TFRC(0.447235); PKLR(0.346418); NF1(0.119319); CPT1A(0.0469112); CEBPB(-0.0360662); HMGCS1(-0.0406153); TAT(-0.0863176); FOXA2(-0.312552); DLK1(-0.338387); FOXF1(-0.34998); APOA1(-0.358428); FOXA1(-0.361453); CEBPA(-0.423007); CREB1(-0.460857); NKX2-1(-0.49127); UCP2(-0.516001); CEBPD(-0.529873); CPT1C(-0.626436); TTR(-0.628721); F2(-0.68043); CPT1B(-0.747399); HADH(-0.761054); ALB(-0.778323); AKT1(-0.790536); AFP(-0.794129); ACADM(-0.942321); SP1(-0.984785); NR3C1(-1.07257); 
